zcmb,zhel,mb,e_mb,x1,e_x1,c,e_c,logMst
0.072,0.0727,18.984,0.113,-0.924,0.109,0.181,0.026,10.07
0.022,0.0227,16.021,0.149,-1.091,0.131,0.074,0.036,10.335
0.035,0.0343,16.971,0.14,-2.039,0.187,-0.089,0.026,11.029
0.014,0.0143,14.382,0.158,0.869,0.038,0.027,0.023,10.689
0.035,0.0349,16.45,0.142,0.941,0.095,-0.087,0.03,6.0
0.017,0.0174,15.364,0.15,-2.113,0.106,-0.027,0.025,10.477
0.018,0.0177,14.836,0.151,-1.171,0.118,-0.081,0.025,10.429
0.015,0.0159,15.08,0.154,-0.916,0.069,0.002,0.023,10.662
0.041,0.041,17.617,0.139,-1.244,0.122,0.069,0.023,10.961
0.016,0.0159,15.72,0.153,-1.321,0.108,0.09,0.027,9.51
0.038,0.038,16.644,0.139,0.515,0.089,-0.09,0.021,10.349
0.027,0.0267,16.035,0.143,1.779,0.121,-0.006,0.035,10.82
0.037,0.037,16.62,0.139,1.743,0.135,-0.037,0.023,11.136
0.037,0.037,17.41,0.142,-2.128,0.109,0.008,0.03,10.925
0.022,0.021,15.747,0.145,0.977,0.104,-0.035,0.022,10.587
0.021,0.0201,15.876,0.146,0.073,0.061,0.102,0.021,10.619
0.015,0.0135,14.661,0.155,0.738,0.095,-0.066,0.022,10.193
0.027,0.0267,17.153,0.141,-1.806,0.031,0.127,0.019,11.079
0.016,0.0144,14.726,0.153,1.179,0.044,-0.084,0.023,10.7
0.027,0.0252,16.161,0.142,0.424,0.07,-0.034,0.021,10.41
0.025,0.0244,16.341,0.148,-0.792,0.134,0.148,0.025,10.603
0.02,0.0193,15.66,0.147,-0.974,0.076,-0.055,0.022,9.38
0.011,0.0101,14.449,0.173,0.791,0.188,0.118,0.031,9.942
0.017,0.0167,15.351,0.153,0.823,0.27,0.165,0.029,9.937
0.015,0.0143,15.058,0.155,-1.897,0.061,-0.079,0.022,10.809
0.023,0.0225,16.455,0.145,-1.043,0.217,0.082,0.027,9.847
0.03,0.0297,16.835,0.142,0.467,0.06,0.166,0.027,10.999
0.025,0.0246,16.238,0.145,-1.738,0.167,-0.049,0.025,10.958
0.014,0.0135,15.128,0.156,-1.718,0.088,0.026,0.025,11.191
0.08,0.0794,18.471,0.136,0.214,0.048,-0.037,0.023,10.902
0.031,0.0322,16.912,0.14,0.266,0.071,0.063,0.021,11.381
0.028,0.0281,16.657,0.142,0.542,0.319,0.097,0.023,10.806
0.039,0.0394,16.699,0.139,1.53,0.094,-0.062,0.022,10.579
0.023,0.023,15.991,0.145,0.941,0.149,0.003,0.027,9.657
0.032,0.0313,16.79,0.141,-1.61,0.075,-0.007,0.024,11.039
0.029,0.0283,16.483,0.143,-2.09,0.294,-0.033,0.027,10.657
0.031,0.0296,16.647,0.143,0.659,0.128,0.064,0.029,10.309
0.033,0.0321,16.841,0.14,0.971,0.067,0.021,0.022,10.45
0.023,0.0231,16.158,0.144,-0.858,0.062,0.024,0.021,10.866
0.028,0.0271,16.077,0.143,-0.109,0.127,0.039,0.03,10.789
0.024,0.0236,15.896,0.144,0.619,0.041,-0.055,0.026,10.027
0.031,0.0309,16.462,0.14,-1.343,0.042,-0.117,0.022,11.314
1.231,1.23,26.047,0.129,-0.077,0.69,0.087,0.048,10.134
1.121,1.12,25.147,0.122,0.62,0.307,-0.075,0.053,8.335
0.84,0.839,24.363,0.113,-0.082,0.331,-0.02,0.04,10.626
0.936,0.935,24.482,0.12,0.056,0.29,-0.025,0.059,10.906
1.021,1.02,24.965,0.119,0.305,0.292,-0.104,0.06,10.004
0.971,0.97,25.02,0.119,-0.103,0.63,-0.218,0.107,10.633
